"FID","Important","Date_Note","JoinID","Rainbow Trout","Introduction_Mode","Longitude_Source","About","Introduction_Number","Latitude_Source","Other","Effect","Alternate Name","Kokanee","Year_Established","Amount","Established","Source","VariouSecondary Trout","Lake Name","Year","Unintentional","State_Province","Lake Trout","lon","lat"
,,,1012,,"Introduced",-105.81,,3,40.24,,,,,,100000,,"Kootenay Lake",,"Anderson Ranch Reservoir",1967,,"Idaho",,-115.36,43.4
103,,,1192,,"Introduced",-113.9,,1,48.98,,,,,,107730,,"Waterton Lake ",,"Patterson Lake",1968,,"California",,-120.22,41.38
133,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1150,,"Introduced",-106.33,,1,39.08,,,,"Secondary",1983,,"Yes","Twin Lakes Reservoir",,"Turquoise Lake",1972,,"Colorado","Primary",-106.37,39.27
3,,,1167,,"Introduced",-113.9,,1,48.98,,,,,1974,4250,"Yes","Waterton Lake ",,"Ashley Lake",1968,,"Montana",,-114.6,48.21
148,2,,1153,,"Introduced",-106.33,,1,39.08,,,,,1977,54000,"Yes","Twin Lakes Reservoir",,"Willow Lake",1971,,"Wyoming","Primary",-109.89,43
,,,1164,,"Introduced",-113.9,,1,48.98,,,,,,,"No","Waterton Lake",,"Lake Sakakawea",1973,,"North Dakota",,-102.33,47.79
60,,,1180,,"Introduced",-113.9,,1,48.98,,"Not established.",,,,20000,"No","Waterton Lake ",,"Ice Lake",1967,,"Oregon",,-117.27,45.23
85,,,1186,,"Introduced",-113.9,,1,48.98,,,,,,15000,"Yes","Waterton Lake ",,"Lower Echo Lake",1963,,"California",,-120.06,38.84
80,1,,1182,,"Introduced",-113.9,,1,48.98,,"Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. Decrease in abundance of Lake Trout. Decrease in size of Lake Trout.",,,1969,82650,"Yes","Waterton Lake ",,"Lake Tahoe",1963,,"California",,-120.03,39.09
117,,,1195,,"Introduced",-113.9,,1,48.98,,,,,,223150,"Yes","Waterton Lake ",,"Shasta Lake",1967,,"California",,-122.37,40.77
63,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1122,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,"Yes","Twin Lakes Reservoir",,"Jefferson Lake",1972,,"Colorado","Primary",-105.86,39.46
47,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1115,,"Introduced",-106.33,,1,39.08,,,"Gold Dust Lakes 1-5","Secondary",,,,"Twin Lakes Reservoir",,"Gold Dust Lakes",1972,,"Colorado","Primary",-106.58,39.49
112,,,1042,,"Introduced",-116.87,,1,49.6,,,,,,50000,,"Kootenay Lake",,"Redfish Lake",1966,,"Idaho",,-114.93,44.12
14,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1097,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Capitol Lake",1972,,"British Columbia","Primary",-107.08,39.16
,,,1043,,"Introduced",-116.87,,2,49.6,,,,,,60000,,"Kootenay Lake",,"Redfish Lake",1967,,"Idaho",,-114.93,44.12
54,1,"Report states that stocking averaged 200-1000 mysis per year from 1961 to 1964. ",1087,,"Introduced",-90.17,,1,47.87,,,,,1965,600,"Yes","Trout Lake",,"Grindstone Lake",1961,,"Minnesota","Primary",-93.01,46.12
35,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1109,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Diemer Lake",1970,,"Colorado","Primary",-106.61,39.33
92,2,"The number introduced is approximated from a report that a total of 50,000 mysis shrimp were introduced into Maine lakes in 1975.",1061,,"Introduced",-72.22,,1,44.98,,,,,1984,20000,"Yes","Lake Memphremagog",,"Moosehead Lake",1975,,"Maine",,-69.67,45.54
33,,,1176,,"Introduced",-113.9,,1,48.98,,,"Detroit Reservoir",,1988,100000,"Yes","Waterton Lake ",,"Detroit Lake",1967,,"Oregon",,-122.19,44.71
17,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1098,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Chalk Lake",1972,,"Colorado","Primary",-106.22,39.38
31,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1107,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Deckers Lake",1972,,"Colorado","Primary",-106.41,39.33
